AM_ID,TA_ID,TAMBON_T,TAMBON_E
1001,100106,เสาชิงช้า,Sao Chingcha
1001,100105,ศาลเจ้าพ่อเสือ,San Chaopho Suea
1001,100108,ตลาดยอด,Talat Yot
1001,100103,วัดราชบพิธ,Wat Ratchabophit
1001,100104,สำราญราษฎร์,Samran Rat
1001,100109,ชนะสงคราม,Chana Songkhram
1001,100110,บ้านพานถม,Ban Phan Thom
1001,100111,บางขุนพรหม,Bang Khun Phrom
1001,100107,บวรนิเวศ,Bowon Niwet
1001,100112,วัดสามพระยา,Wat Sam Phraya
1001,100102,วังบูรพาภิรมย์,Wang Burapha Phirom
1001,100101,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang
1002,100204,สี่แยกมหานาค,Si Yaek Maha Nak
1002,100202,วชิรพยาบาล,Wachira Phayaban
1002,100203,สวนจิตรลดา,Suan Chit Lada
1002,100201,ดุสิต,Dusit
1002,100206,ถนนนครไชยศรี,
1003,100306,คู้ฝั่งเหนือ,
1003,100305,โคกแฝด,
1003,100303,คลองสิบ,
1003,100308,ลำต้อยติ่ง,
1003,100307,ลำผักชี,
1003,100302,หนองจอก,
1003,100301,กระทุ่มราย,
1003,100304,คลองสิบสอง,
1004,100405,สี่พระยา,
1004,100404,บางรัก,
1004,100401,มหาพฤฒาราม,
1004,100402,สีลม,
1004,100403,สุริยวงศ์,
1005,100502,อนุสาวรีย์,
1005,100508,ท่าแร้ง,
1006,100601,คลองจั่น,
1006,100608,หัวหมาก,
1007,100701,รองเมือง,
1007,100702,วังใหม่,
1007,100703,ปทุมวัน,
1007,100704,ลุมพินี,
1008,100804,บ้านบาตร,
1008,100802,วัดเทพศิรินทร์,
1008,100805,วัดโสมนัส,
1008,100803,คลองมหานาค,
1008,100801,ป้อมปราบ,
1009,100905,บางจาก,
1010,101001,มีนบุรี,
1010,101002,แสนแสบ,
1011,101101,ลาดกระบัง,
1011,101102,คลองสองต้นนุ่น,
1011,101103,คลองสามประเวศ,
1011,101105,ทับยาว,
1011,101106,ขุมทอง,
1011,101104,ลำปลาทิว,
1012,101203,ช่องนนทรี,
1012,101204,บางโพงพาง,
1013,101303,ตลาดน้อย,
1013,101302,สัมพันธวงศ์,
1013,101301,จักรวรรดิ,
1014,101401,สามเสนใน,
1015,101502,หิรัญรูจี,
1015,101501,วัดกัลยาณ์,
1015,101503,บางยี่เรือ,
1015,101505,ตลาดพลู,
1015,101504,บุคคโล,
1016,101601,วัดอรุณ,
1016,101602,วัดท่าพระ,
1017,101701,ห้วยขวาง,
1017,101704,สามเสนนอก,
1017,101702,บางกะปิ,
1018,101801,สมเด็จเจ้าพระยา,
1018,101802,คลองสาน,
1018,101804,คลองต้นไทร,
1018,101803,บางลำภูล่าง,
1019,101901,คลองชักพระ,
1019,101907,บางเชือกหนัง,
1019,101904,บางพรม,
1019,101902,ตลิ่งชัน,
1019,101903,ฉิมพลี,
1019,101905,บางระมาด,
1020,102004,ศิริราช,
1020,102006,บางขุนนนท์,
1020,102005,บ้านช่างหล่อ,
1020,102009,อรุณอมรินทร์,
1020,102007,บางขุนศรี,
1021,102107,แสมดำ,
1021,102105,ท่าข้าม,
1022,102210,คูหาสวรรค์,
1022,102206,บางจาก,
1022,102209,ปากคลองภาษีเจริญ,
1022,102208,คลองขวาง,
1022,102207,บางแวก,
1022,102202,บางด้วน,
1022,102201,บางหว้า,
1023,102303,หนองค้างพลู,
1023,102302,หนองแขม,
1024,102401,ราษฎร์บูรณะ,
1024,102402,บางปะกอก,
1025,102503,บางบำหรุ,
1025,102504,บางยี่ขัน,
1025,102502,บางอ้อ,
1025,102501,บางพลัด,
1026,102601,ดินแดง,
1027,102701,คลองกุ่ม,
1028,102801,ทุ่งวัดดอน,
1028,102802,ยานนาวา,
1028,102803,ทุ่งมหาเมฆ,
1029,102901,บางซื่อ,
1030,103001,ลาดยาว,
1031,103102,วัดพระยาไกร,
1031,103101,บางคอแหลม,
1031,103103,บางโคล่,
1032,103202,หนองบอน,
1032,103203,ดอกไม้,
1032,103201,ประเวศ,
1033,103302,คลองตัน,
1033,103303,พระโขนง,
1033,103301,คลองเตย,
1034,103401,สวนหลวง,
1035,103502,บางค้อ,
1035,103504,จอมทอง,
1035,103501,บางขุนเทียน,
1035,103503,บางมด,
1036,103602,สีกัน,
1037,103704,มักกะสัน,
1037,103702,ถนนพญาไท,
1037,103703,ถนนเพชรบุรี,
1037,103701,ทุ่งพญาไท,
1038,103802,จรเข้บัว,
1038,103801,ลาดพร้าว,
1039,103901,คลองเตยเหนือ,
1039,103903,พระโขนงเหนือ,
1039,103902,คลองตันเหนือ,
1040,104004,หลักสอง,
1040,104001,บางแค,
1040,104002,บางแคเหนือ,
1040,104003,บางไผ่,
1041,104102,ตลาดบางเขน,
1041,104101,ทุ่งสองห้อง,
1042,104203,คลองถนน,
1042,104202,ออเงิน,
1042,104201,สายไหม,
1043,104301,คันนายาว,
1044,104401,สะพานสูง,
1045,104501,วังทองหลาง,
1046,104604,ทรายกองดิน,
1046,104605,ทรายกองดินใต้,
1046,104603,บางชัน,
1046,104601,สามวาตะวันตก,
1046,104602,สามวาตะวันออก,
1047,104701,บางนา,
1048,104801,ทวีวัฒนา,
1048,104802,ศาลาธรรมสพน์,
1049,104901,บางมด,
1049,104902,ทุ่งครุ,
1050,105001,บางบอน,
1101,110111,บางโปรง,
1101,110113,บางด้วน,
1101,110114,เทศบาลบางเมือง,Bang Mueang Mai
1101,110101,เทศบาลนครสมุทรปราการ,
1101,110115,เทพารักษ์,
1101,110105,ท้ายบ้านใหม่,
1101,110102,สำโรงเหนือ,
1101,110103,บางเมือง,
1101,110104,ท้ายบ้าน,
1101,110110,แพรกษา,
1101,110112,เทศบาลบางปู,Bang Pu
1101,110117,แพรกษาใหม่,
1101,110108,บางปูใหม่,
1102,110206,คลองสวน,
1102,110208,คลองนิยมยาตรา,
1102,110207,เปร็ง,
1102,110203,บางพลีน้อย,
1102,110202,บ้านระกาศ,
1102,110204,บางเพรียง,
1102,110201,บางบ่อ,
1102,110205,คลองด่าน,
1103,110302,บางแก้ว,
1103,110309,หนองปรือ,
1103,110308,ราชาเทวะ,
1103,110304,บางโฉลง,
1103,110301,บางพลีใหญ่,
1103,110303,บางปลา,
1104,110401,เทศบาลเมืองพระประแดง,Talat
1104,110406,บางหัวเสือ,Bang Hua Suea
1104,110412,บางกอบัว,Bang Ko Bua
1104,110411,บางกระสอบ,Bang Krasop
1104,110402,ตลาด,Bang Phueng
1104,110408,บางยอ,Bang Yo
1104,110414,สำโรง,Samrong
1104,110415,สำโรงกลาง,Samrong Klang
1104,110413,ทรงคนอง,Song Khanong
1104,110410,บางน้ำผึ้ง,Bang Nam Phueng
1104,110409,บางกะเจ้า,Bang Kachao
1104,110407,เทศบาลสำโรงใต้,Samrong Tai
1104,110403,บางจาก,Bang Chak
1104,110404,บางครุ,Bang Khru
1104,110405,บางหญ้าแพรก,Bang Ya Phraek
1105,110504,ปากคลองบางปลากด,Pak Khlong Bang Pla Kot
1105,110505,ในคลองบางปลากด,Nai Khlong Bang Pla Kot
1105,110502,บ้านคลองสวน,Ban Khlong Suan
1105,110501,นาเกลือ,Na Kluea
1105,110503,แหลมฟ้าผ่า,Laem Fa Pha
1106,110603,ศรีษะจรเข้ใหญ่,Sisa Chorakhe Yai
1106,110602,ศรีษะจรเข้น้อย,Sisa Chorakhe Noi
1106,110601,บางเสาธง,Bang Sao Thong
1201,120106,บางไผ่,Bang Phai
1201,120101,สวนใหญ่,Suan Yai
1201,120107,บางศรีเมือง,Bang Si Mueang
1201,120110,บางรักน้อย,Bang Rak Noi
1201,120102,ตลาดขวัญ,Talat Khwan
1201,120109,ไทรม้า,Sai Ma
1201,120108,บางกร่าง,Bang Krang
1201,120103,บางเขน,Bang Khen
1201,120104,บางกระสอ,Bang Kraso
1201,120105,ท่าทราย,Tha Sai
1202,120204,บางขนุน,Bang Khanun
1202,120203,บางสีทอง,Bang Si Thong
1202,120202,บางกรวย,Bang Kruai
1202,120208,ปลายบาง,Plai Bang
1202,120206,บางคูเวียง,Bang Khu Wiang
1202,120207,มหาสวัสดิ์,Mahasawat
1202,120201,วัดชลอ,Wat Chalo
1202,120205,บางขุนกอง,Bang Khun Kong
1202,120209,ศาลากลาง,Sala Klang
1203,120303,บางเลน,Bang Len
1203,120304,เสาธงหิน,Sao Thong Hin
1203,120301,บางม่วง,Bang Muang
1203,120305,บางใหญ่,Bang Yai
1203,120302,บางแม่นาง,Bang Mae Nang
1203,120306,บ้านใหม่,Ban Mai
1204,120401,โสนลอย,Sano Loi
1204,120403,บางรักใหญ่,Bang Rak Yai
1204,120406,ลำโพ,Lam Pho
1204,120407,พิมลราช,Phimonrat
1204,120404,บางคูรัด,Bang Khu Rat
1204,120405,ละหาร,Lahan
1204,120408,บางรักพัฒนา,Bang Rak Phatthana
1204,120402,บางบัวทอง,Bang Bua Thong
1205,120501,ไทรน้อย,Sai Noi
1205,120505,ขุนศรี,Khun Si
1205,120507,ทวีวัฒนา,Thawi Watthana
1205,120506,คลองขวาง,Khlong Khwang
1205,120502,ราษฎร์นิยม,Rat Niyom
1205,120503,หนองเพรางาย,Nong Phrao Ngai
1205,120504,ไทรใหญ่,Sai Yai
1206,120612,คลองเกลือ,Khlong Kluea
1206,120608,เกาะเกร็ด,Ko Kret
1206,120605,บางตะไนย์,Bang Tanai
1206,120601,ปากเกร็ด,Pak Kret
1206,120606,คลองพระอุดม,Khlong Phra Udom
1206,120609,อ้อมเกร็ด,Om Kret
1206,120607,ท่าอิฐ,Tha It
1206,120611,บางพลับ,Bang Phlap
1206,120604,บางพูด,Bang Phut
1206,120602,บางตลาด,Bang Talat
1206,120610,คลองข่อย,Khlong Khoi
1206,120603,บ้านใหม่,Ban Mai
1301,130105,บ้านกระแชง,Ban Krachaeng
1301,130110,บางพูด,Bang Phut
1301,130106,บางขะแยง,Bang Khayaeng
1301,130104,บ้านฉาง,Ban Chang
1301,130101,บางปรอก,Bang Prok
1301,130102,บ้านใหม่,Ban Mai
1301,130103,บ้านกลาง,Ban Klang
1301,130111,บางพูน,Bang Phun
1301,130112,บางกะดี,Bang Kadi
1301,130114,หลักหก,Lak Hok
1301,130113,สวนพริกไทย,Suan Phrik Thai
1301,130109,บางเดื่อ,Bang Duea
1301,130108,บางหลวง,Bang Luang
1301,130107,บางคูวัด,Bang Khu Wat
1302,130207,คลองเจ็ด,Khlong Chet
1302,130202,คลองสอง,Khlong Song
1302,130203,คลองสาม,Khlong Sam
1302,130205,คลองห้า,Khlong Ha
1302,130206,คลองหก,Khlong Hok
1302,130204,คลองสี่,Khlong Si
1302,130201,คลองหนึ่ง,Khlong Nueng
1303,130302,บึงยี่โถ,Bueng Yitho
1303,130304,ลำผักกูด,Lam Phak Kut
1303,130303,รังสิต,Rangsit
1303,130305,บึงสนั่น,Bueng Sanan
1303,130301,ประชาธิปัตย์,Pracha Thipat
1303,130306,บึงน้ำรักษ์,Bueng Nam Rak
1304,130402,บึงบอน,Bueng Bon
1304,130407,นพรัตน์,Noppharat
1304,130406,ศาลาครุ,Sala Khru
1304,130403,บึงกาสาม,Bueng Ka Sam
1304,130401,บึงบา,Bueng Ba
1304,130404,บึงชำอ้อ,Bueng Cham O
1304,130405,หนองสามวัง,Nong Sam Wang
1305,130505,คลองพระอุดม,Khlong Phra Udom
1305,130504,คูขวาง,Khu Khwang
1305,130502,ลาดหลุมแก้ว,Lat Lum Kaeo
1305,130503,คูบางหลวง,Khu Bang Luang
1305,130506,บ่อเงิน,Bo Ngoen
1305,130507,หน้าไม้,Na Mai
1305,130501,ระแหง,Rahaeng
1306,130601,คูคต,Khu Khot
1306,130608,พืชอุดม,Phuet Udom
1306,130606,ลำไทร,Lam Sai
1306,130602,ลาดสวาย,Lat Sawai
1306,130607,บึงคอไห,Bueng Kho Hai
1306,130603,บึงคำพร้อย,Bueng Kham Phoi
1306,130604,ลำลูกกา,Lam Luk Ka
1306,130605,บึงทองหลาง,Bueng Thong Lang
1307,130704,กระแชง,Krachaeng
1307,130705,บางโพธิ์เหนือ,Bang Pho Nuea
1307,130708,บ้านงิ้ว,Ban Ngio
1307,130703,สามโคก,Sam Khok
1307,130710,บางกระบือ,Bang Krabue
1307,130706,เชียงรากใหญ่,Chiang Rak Yai
1307,130711,ท้ายเกาะ,Thai Ko
1307,130707,บ้านปทุม,Ban Pathum
1307,130709,เชียงรากน้อย,Chiang Rak Noi
1307,130702,คลองควาย,Khlong Khwai
1307,130701,บางเตย,Bang Toei
1401,140102,กะมัง,Kamang
1401,140103,หอรัตนไชย,Ho Rattana Chai
1401,140105,ท่าวาสุกรี,Tha Wasukri
1401,140108,ภูเขาทอง,Phu Khao Thong
1401,140118,คลองสระบัว,Khlong Sa Bua
1401,140104,หัวรอ,Hua Ro
1401,140111,คลองตะเคียน,Khlong Takhian
1401,140114,ลุมพลี,Lumphli
1401,140106,ไผ่ลิง,Phai Ling
1401,140109,สำเภาล่ม,Samphao Lom
1401,140112,วัดตูม,Wat Tum
1401,140121,บ้านรุม,Ban Run
1401,140110,สวนพริก,Suan Phrik
1401,140101,ประตูชัย,Pratu Chai
1401,140119,เกาะเรียน,Ko Rian
1401,140113,หันตรา,Han Tra
1401,140115,บ้านใหม่,Ban Mai
1401,140116,บ้านเกาะ,Ban Ko
1401,140117,คลองสวนพลู,Khlong Suan Phu
1401,140120,บ้านป้อม,Ban Pom
1401,140107,ปากกราน,Pak Kran
1402,140201,ท่าเรือ,Tha Ruea
1402,140207,โพธิ์เอน,Pho En
1402,140208,ปากท่า,Pak Tha
1402,140205,ศาลาลอย,Sala Loi
1402,140202,จำปา,Champa
1402,140203,ท่าหลวง,Tha Luang
1402,140210,ท่าเจ้าสนุก,Tha Chao Sanuk
1402,140204,บ้านร่อม,Ban Rom
